Simulated Production Orders;Simulated Production Orders;Simulierte Fertigungsaufträge
Sales & Purchases;Sales & Purchases;Verkäufe und Einkäufe
Use blanket purchase orders as a framework for a long-term agreement between you and your vendors to buy large quantities that are to be delivered in several smaller shipments over a certain period of time. Blanket orders often cover only one item with predetermined delivery dates. The main reason for using a blanket order rather than a purchase order is that quantities entered on a blanket order do not affect item availability and thus can be used as a worksheet for monitoring, forecasting, and planning purposes..;Use blanket purchase orders as a framework for a long-term agreement between you and your vendors to buy large quantities that are to be delivered in several smaller shipments over a certain period of time. Blanket orders often cover only one item with predetermined delivery dates. The main reason for using a blanket order rather than a purchase order is that quantities entered on a blanket order do not affect item availability and thus can be used as a worksheet for monitoring, forecasting, and planning purposes..;Nutzen Sie Rahmenbestellungen als Gerüst für eine langfristige Vereinbarung zwischen Ihnen und Ihren Kreditoren, um grössere Mengen zu kaufen, die über einen längeren Zeitraum in mehreren kleineren Lieferungen bereitgestellt werden. Rahmenbestellungen decken häufig nur einen bestimmten Artikel ab, für den bestimmte Liefertermine vorgegeben sind. Der Hauptgrund für die Verwendung einer Rahmenbestellung anstelle eines Verkaufsauftrags besteht darin, dass die in einen Rahmenauftrag eingegebenen Mengen keinen Einfluss auf die Artikelverfügbarkeit haben und daher als Arbeitsvorlage für die Überwachung und Planung verwendet werden können.
Blanket Purchase Orders;Blanket Purchase Orders;Rahmenbestellungen
Use blanket sales orders as a framework for a long-term agreement between you and your customers to sell large quantities that are to be delivered in several smaller shipments over a certain period of time. Blanket orders often cover only one item with predetermined delivery dates. The main reason for using a blanket order rather than a sales order is that quantities entered on a blanket order do not affect item availability and thus can be used as a worksheet for monitoring, forecasting, and planning purposes..;Use blanket sales orders as a framework for a long-term agreement between you and your customers to sell large quantities that are to be delivered in several smaller shipments over a certain period of time. Blanket orders often cover only one item with predetermined delivery dates. The main reason for using a blanket order rather than a sales order is that quantities entered on a blanket order do not affect item availability and thus can be used as a worksheet for monitoring, forecasting, and planning purposes..;Nutzen Sie Rahmenaufträge als Gerüst für eine langfristige Vereinbarung zwischen Ihnen und Ihren Debitoren, um grössere Mengen zu verkaufen, die über einen längeren Zeitraum in mehreren kleineren Lieferungen bereitgestellt werden. Rahmenaufträge decken häufig nur einen bestimmten Artikel ab, für den bestimmte Liefertermine vorgegeben sind. Der Hauptgrund für die Verwendung eines Rahmenauftrags anstelle eines Verkaufsauftrags besteht darin, dass die in einen Rahmenauftrag eingegebenen Mengen keinen Einfluss auf die Artikelverfügbarkeit haben und daher als Arbeitsvorlage für die Überwachung und Planung verwendet werden können.
Blanket Sales Orders;Blanket Sales Orders;Rahmenaufträge
Create purchase orders to mirror sales documents that vendors send to you. This enables you to record the cost of purchases and to track accounts payable. Posting purchase orders dynamically updates inventory levels so that you can minimize inventory costs and provide better customer service. Purchase orders allow partial receipts, unlike with purchase invoices, and enable drop shipment directly from your vendor to your customer. Purchase orders can be created automatically from PDF or image files from your vendors by using the Incoming Documents feature.;Create purchase orders to mirror sales documents that vendors send to you. This enables you to record the cost of purchases and to track accounts payable. Posting purchase orders dynamically updates inventory levels so that you can minimize inventory costs and provide better customer service. Purchase orders allow partial receipts, unlike with purchase invoices, and enable drop shipment directly from your vendor to your customer. Purchase orders can be created automatically from PDF or image files from your vendors by using the Incoming Documents feature.;"Einkaufsreklamationen erstellen, um Verkaufsbelege widerzuspiegeln, die Kreditoren an Sie senden. Dies ermöglicht Ihnen das Erfassen der Kosten der Einkäufe und das Nachverfolgen der Verbindlichkeiten. Durch dynamisches Buchen von Bestellungen werden die Lagerebenen aktualisiert, sodass Sie Lagerkosten minimieren und besseren Debitorenservice bieten können. Bestellungen erlauben Teillieferungen und ermöglichen im Gegensatz zu Einkaufsrechnungen Direktlieferungen von Ihrem Kreditor an Ihren Debitor. Bestellungen können von Ihren Kreditoren automatisch mithilfe der Funktion ""Eingehende Belege"" aus PDF- oder Bilddateien erstellt werden."
Purchase Orders;Purchase Orders;Einkaufsbestellungen
Record your agreements with customers to sell certain products on certain delivery and payment terms. Sales orders, unlike sales invoices, allow you to ship partially, deliver directly from your vendor to your customer, initiate warehouse handling, and print various customer-facing documents. Sales invoicing is integrated in the sales order process.;Record your agreements with customers to sell certain products on certain delivery and payment terms. Sales orders, unlike sales invoices, allow you to ship partially, deliver directly from your vendor to your customer, initiate warehouse handling, and print various customer-facing documents. Sales invoicing is integrated in the sales order process.;Dokumentieren Sie Ihre Vereinbarungen mit Debitoren, um bestimmte Produkte zu bestimmten Liefer- und Zahlungsbedingungen zu verkaufen. Verkaufsaufträge ermöglichen Ihnen im Gegensatz zu Verkaufsrechnungen Teillieferungen, Direktlieferungen von Ihrem Kreditor an Ihren Debitor, das Starten des Lagerdurchlaufs und das Drucken verschiedener kundenrelevanter Belege. Die Fakturierung ist in den Verkaufsauftragsprozess integriert.
Sales Orders;Sales Orders;Verkaufsaufträge
Overview and change system and application settings, and manage extensions and services;Overview and change system and application settings, and manage extensions and services;Übersicht über und Änderung von System- und Anwendungseinstellungen sowie Verwaltung von Erweiterungen und Diensten
Setup & Extensions;Setup & Extensions;Einrichtung und Erweiterungen
Set up core functionality such as sales tax, sending documents as email, and approval workflow by running through a few pages that guide you through the information.;Set up core functionality such as sales tax, sending documents as email, and approval workflow by running through a few pages that guide you through the information.;Richtet wichtige Funktionen wie Salestax, Senden von Belegen als E-Mail und Genehmigungsworkflow mittels Durchlaufen einiger Seiten als Leitfaden zu den Informationen ein.
Assisted Setup;Assisted Setup;Unterstütztes Setup
Install Extensions for greater functionality of the system.;Install Extensions for greater functionality of the system.;Installiert Erweiterungen für Funktionen des Systems.
Extensions;Extensions;Erweiterungen
Define your general accounting policies, such as the allowed posting period and how payments are processed. Set up your default dimensions for financial analysis.;Define your general accounting policies, such as the allowed posting period and how payments are processed. Set up your default dimensions for financial analysis.;Ihre allgemeinen Buchhaltungsrichtlinien definieren, z. B. den zulässigen Buchungszeitraum und die Verarbeitung der Zahlungen. Ihre Standarddimensionen für die Finanzanalyse einrichten.
Finance;Finance;Finanzen
Manage periodic depreciation of your machinery or machines, keep track of your maintenance costs, manage insurance policies related to fixed assets, and monitor fixed asset statistics.;Manage periodic depreciation of your machinery or machines, keep track of your maintenance costs, manage insurance policies related to fixed assets, and monitor fixed asset statistics.;Verwaltet die periodischen Abschreibungen Ihrer Maschinen, erfasst Ihre Wartungskosten, verwaltet Versicherungspolicen im Zusammenhang mit Anlagen, und überwacht Anlagenstatistiken.
